  0.0001
 0.10000000E+01  0.11971590E+05  0.18403263E+04
 0.15382277E+01  0.11316299E+05  0.28415576E+04
 0.21918985E+01  0.10567299E+05  0.47232880E+04
 0.29610123E+01  0.10122260E+05  0.67753087E+04
 0.38455692E+01  0.10235328E+05  0.84452260E+04
 0.48455692E+01  0.10601789E+05  0.99573037E+04
 0.59610123E+01  0.11018541E+05  0.11454128E+05
 0.71918984E+01  0.11475693E+05  0.12943343E+05
 0.85382277E+01  0.11951894E+05  0.14401458E+05
 0.10000000E+02  0.12434544E+05  0.15816709E+05
 0.14207095E+02  0.14038105E+05  0.18670355E+05
 0.19905339E+02  0.15500072E+05  0.22204679E+05
 0.26562170E+02  0.16940698E+05  0.25424965E+05
 0.34177470E+02  0.18373595E+05  0.28386536E+05
 0.42751459E+02  0.19764910E+05  0.31115082E+05
 0.52284035E+02  0.21101220E+05  0.33637934E+05
 0.62775197E+02  0.22377997E+05  0.35980258E+05
 0.74224773E+02  0.23595748E+05  0.38163556E+05
 0.86633093E+02  0.24756563E+05  0.40206536E+05
 0.10000000E+03  0.25863805E+05  0.42125255E+05
 0.14248481E+03  0.28879643E+05  0.46831126E+05
 0.19948738E+03  0.31932344E+05  0.51652531E+05
 0.26606177E+03  0.34677398E+05  0.55886139E+05
 0.34220190E+03  0.37164286E+05  0.59655513E+05
 0.42791473E+03  0.39434144E+05  0.63050358E+05
 0.52319243E+03  0.41520049E+05  0.66137342E+05
 0.62804370E+03  0.43448503E+05  0.68966379E+05
 0.74245895E+03  0.45241321E+05  0.71576912E+05
 0.86644277E+03  0.46916226E+05  0.73999657E+05
 0.10000015E+04  0.48486284E+05  0.76259745E+05
 0.13218387E+04  0.51607393E+05  0.81466500E+05
 0.18860433E+04  0.55949873E+05  0.87262100E+05
 0.25502500E+04  0.59728752E+05  0.92223125E+05
 0.33144661E+04  0.63073276E+05  0.96557957E+05
 0.41787045E+04  0.66072105E+05  0.10040622E+06
 0.51429408E+04  0.68790611E+05  0.10386529E+06
 0.62071865E+04  0.71276428E+05  0.10700602E+06
 0.73714416E+04  0.73566067E+05  0.10988183E+06
 0.86357247E+04  0.75688580E+05  0.11253355E+06
 0.10000000E+05  0.77665909E+05  0.11499330E+06
  0.0002
 0.10000000E+01  0.52479502E+04  0.80667334E+03
 0.15382277E+01  0.49405985E+04  0.13585541E+04
 0.21918985E+01  0.47187639E+04  0.21014246E+04
 0.29610123E+01  0.45434746E+04  0.30107200E+04
 0.38455692E+01  0.46035706E+04  0.37237065E+04
 0.48455692E+01  0.47796100E+04  0.43367793E+04
 0.59610123E+01  0.50543360E+04  0.48399074E+04
 0.71918984E+01  0.52936554E+04  0.53945176E+04
 0.85382277E+01  0.55051166E+04  0.59739439E+04
 0.10000000E+02  0.56940113E+04  0.65622704E+04
 0.14207095E+02  0.62024134E+04  0.78728467E+04
 0.19905339E+02  0.68086227E+04  0.92889351E+04
 0.26562170E+02  0.73998869E+04  0.10569320E+05
 0.34177470E+02  0.79839287E+04  0.11734839E+05
 0.42751459E+02  0.85486119E+04  0.12800710E+05
 0.52284035E+02  0.90892944E+04  0.13780719E+05
 0.62775197E+02  0.96048625E+04  0.14686489E+05
 0.74224773E+02  0.10095654E+05  0.15527759E+05
 0.86633093E+02  0.10562972E+05  0.16312590E+05
 0.10000000E+03  0.11008160E+05  0.17047788E+05
 0.14248481E+03  0.12097920E+05  0.18982362E+05
 0.19948738E+03  0.13285626E+05  0.20811040E+05
 0.26606177E+03  0.14359474E+05  0.22403354E+05
 0.34220190E+03  0.15336117E+05  0.23812287E+05
 0.42791473E+03  0.16230238E+05  0.25074977E+05
 0.52319243E+03  0.17053718E+05  0.26218507E+05
 0.62804370E+03  0.17816547E+05  0.27263086E+05
 0.74245895E+03  0.18526785E+05  0.28224213E+05
 0.86644277E+03  0.19190902E+05  0.29114137E+05
 0.10000015E+04  0.19814608E+05  0.29942457E+05
 0.13218387E+04  0.20917310E+05  0.31888270E+05
 0.18860433E+04  0.22564598E+05  0.34024270E+05
 0.25502500E+04  0.23997857E+05  0.35847223E+05
 0.33144661E+04  0.25265173E+05  0.37437059E+05
 0.41787045E+04  0.26402221E+05  0.38845399E+05
 0.51429408E+04  0.27432277E+05  0.40109589E+05
 0.62071865E+04  0.28373889E+05  0.41256156E+05
 0.73714416E+04  0.29241275E+05  0.42304645E+05
 0.86357247E+04  0.30045464E+05  0.43270414E+05
 0.10000000E+05  0.30794693E+05  0.44165678E+05
  0.0003
 0.10000000E+01  0.32391111E+04  0.49792708E+03
 0.15382277E+01  0.30577751E+04  0.84786197E+03
 0.21918985E+01  0.29275809E+04  0.13112193E+04
 0.29610123E+01  0.28197734E+04  0.18798111E+04
 0.38455692E+01  0.28671116E+04  0.23027666E+04
 0.48455692E+01  0.30327426E+04  0.26032463E+04
 0.59610123E+01  0.31671136E+04  0.29464661E+04
 0.71918984E+01  0.32779561E+04  0.33163332E+04
 0.85382277E+01  0.33996825E+04  0.36679224E+04
 0.10000000E+02  0.35271872E+04  0.40016840E+04
 0.14207095E+02  0.38531285E+04  0.47356943E+04
 0.19905339E+02  0.42211561E+04  0.55561901E+04
 0.26562170E+02  0.45728247E+04  0.62971807E+04
 0.34177470E+02  0.49114245E+04  0.69704277E+04
 0.42751459E+02  0.52377000E+04  0.75860875E+04
 0.52284035E+02  0.55493304E+04  0.81521176E+04
 0.62775197E+02  0.58459654E+04  0.86752539E+04
 0.74224773E+02  0.61280061E+04  0.91610807E+04
 0.86633093E+02  0.63961926E+04  0.96143445E+04
 0.10000000E+03  0.66514473E+04  0.10038919E+05
 0.14248481E+03  0.73363769E+04  0.11094860E+05
 0.19948738E+03  0.80180026E+04  0.12123926E+05
 0.26606177E+03  0.86315533E+04  0.13020123E+05
 0.34220190E+03  0.91878381E+04  0.13813151E+05
 0.42791473E+03  0.96957979E+04  0.14523952E+05
 0.52319243E+03  0.10162890E+05  0.15167673E+05
 0.62804370E+03  0.10594861E+05  0.15755760E+05
 0.74245895E+03  0.10996541E+05  0.16296871E+05
 0.86644277E+03  0.11371765E+05  0.16797915E+05
 0.10000015E+04  0.11723789E+05  0.17264301E+05
 0.13218387E+04  0.12419093E+05  0.18202031E+05
 0.18860433E+04  0.13350095E+05  0.19373914E+05
 0.25502500E+04  0.14159674E+05  0.20372616E+05
 0.33144661E+04  0.14875827E+05  0.21242287E+05
 0.41787045E+04  0.15517767E+05  0.22012141E+05
 0.51429408E+04  0.16099362E+05  0.22702560E+05
 0.62071865E+04  0.16631039E+05  0.23328236E+05
 0.73714416E+04  0.17120676E+05  0.23900130E+05
 0.86357247E+04  0.17574348E+05  0.24426687E+05
 0.10000000E+05  0.17997146E+05  0.24914433E+05
  0.0004
 0.10000000E+01  0.22998885E+04  0.35358883E+03
 0.15382277E+01  0.21714511E+04  0.60615028E+03
 0.21918985E+01  0.21016812E+04  0.91243270E+03
 0.29610123E+01  0.20549782E+04  0.12815937E+04
 0.38455692E+01  0.21127043E+04  0.15457558E+04
