  0.000288
 0.19993960E+01  0.53482317E+01 -0.70468119E+01
 0.30765160E+01  0.78588795E+01 -0.75076243E+01
 0.43848360E+01  0.96815854E+01 -0.77871857E+01
 0.59194890E+01  0.11149940E+02 -0.79882163E+01
 0.76895290E+01  0.12369682E+02 -0.81396215E+01
 0.96907690E+01  0.13409316E+02 -0.82589133E+01
 0.11923209E+02  0.14311771E+02 -0.83555897E+01
 0.14386849E+02  0.15106765E+02 -0.84355905E+01
 0.17073424E+02  0.15816353E+02 -0.85035025E+01
 0.19998784E+02  0.16470481E+02 -0.85695013E+01
  0.000355
 0.19993960E+01  0.50370203E+01 -0.62887313E+01
 0.30765160E+01  0.72493001E+01 -0.66610474E+01
 0.43848360E+01  0.88394814E+01 -0.68798458E+01
 0.59194890E+01  0.10113194E+02 -0.70346139E+01
 0.76895290E+01  0.11166732E+02 -0.71490435E+01
 0.96907690E+01  0.12061452E+02 -0.72377423E+01
 0.11923209E+02  0.12836074E+02 -0.73084877E+01
 0.14386849E+02  0.13516705E+02 -0.73660196E+01
 0.17073424E+02  0.14123003E+02 -0.74141519E+01
 0.19998784E+02  0.14681642E+02 -0.74615218E+01
  0.0005
 0.19993960E+01  0.45064272E+01 -0.51919303E+01
 0.30765160E+01  0.62967999E+01 -0.54515104E+01
 0.43848360E+01  0.75631738E+01 -0.55942224E+01
 0.59194890E+01  0.85681414E+01 -0.56908546E+01
 0.76895290E+01  0.93933331E+01 -0.57589756E+01
 0.96907690E+01  0.10090290E+02 -0.58094111E+01
 0.11923209E+02  0.10690617E+02 -0.58477634E+01
 0.14386849E+02  0.11216126E+02 -0.58773588E+01
 0.17073424E+02  0.11682763E+02 -0.59009837E+01
 0.19998784E+02  0.12112020E+02 -0.59251349E+01
  0.00075
 0.19993960E+01  0.38794667E+01 -0.41030783E+01
 0.30765160E+01  0.52638821E+01 -0.42692506E+01
 0.43848360E+01  0.62249679E+01 -0.43498560E+01
 0.59194890E+01  0.69790999E+01 -0.43993982E+01
 0.76895290E+01  0.75930664E+01 -0.44302565E+01
 0.96907690E+01  0.81078629E+01 -0.44500612E+01
 0.11923209E+02  0.85487923E+01 -0.44625639E+01
 0.14386849E+02  0.89327477E+01 -0.44700403E+01
 0.17073424E+02  0.92722377E+01 -0.44742548E+01
 0.19998784E+02  0.95840898E+01 -0.44799970E+01
  0.001
 0.19993960E+01  0.34525297E+01 -0.34530899E+01
 0.30765160E+01  0.46014368E+01 -0.35723546E+01
 0.43848360E+01  0.53885451E+01 -0.36224201E+01
 0.59194890E+01  0.60012514E+01 -0.36488873E+01
 0.76895290E+01  0.64968166E+01 -0.36616498E+01
 0.96907690E+01  0.69101924E+01 -0.36666640E+01
 0.11923209E+02  0.72626738E+01 -0.36667999E+01
 0.14386849E+02  0.75684170E+01 -0.36637317E+01
 0.17073424E+02  0.78378886E+01 -0.36587969E+01
 0.19998784E+02  0.80851012E+01 -0.36557648E+01
  0.002
 0.19993960E+01  0.25273228E+01 -0.22392107E+01
 0.30765160E+01  0.32527345E+01 -0.22881267E+01
 0.43848360E+01  0.37337507E+01 -0.22938529E+01
 0.59194890E+01  0.41004921E+01 -0.22874092E+01
 0.76895290E+01  0.43920726E+01 -0.22748112E+01
 0.96907690E+01  0.46318680E+01 -0.22594758E+01
 0.11923209E+02  0.48337939E+01 -0.22429105E+01
 0.14386849E+02  0.50070731E+01 -0.22258918E+01
 0.17073424E+02  0.51583546E+01 -0.22090044E+01
 0.19998784E+02  0.52966709E+01 -0.21943677E+01
  0.00355
 0.19993960E+01  0.18945428E+01 -0.15402877E+01
 0.30765160E+01  0.23869514E+01 -0.15573796E+01
 0.43848360E+01  0.27040099E+01 -0.15445565E+01
 0.59194890E+01  0.29409712E+01 -0.15249580E+01
 0.76895290E+01  0.31261069E+01 -0.15027898E+01
 0.96907690E+01  0.32761030E+01 -0.14802215E+01
 0.11923209E+02  0.34007808E+01 -0.14580830E+01
 0.14386849E+02  0.35064853E+01 -0.14367076E+01
 0.17073424E+02  0.35978302E+01 -0.14163629E+01
 0.19998784E+02  0.36810049E+01 -0.13982485E+01
  0.005
 0.19993960E+01  0.15768513E+01 -0.12275788E+01
 0.30765160E+01  0.19673583E+01 -0.12312398E+01
 0.43848360E+01  0.22139596E+01 -0.12111557E+01
 0.59194890E+01  0.23956284E+01 -0.11867754E+01
 0.76895290E+01  0.25357623E+01 -0.11614323E+01
 0.96907690E+01  0.26480463E+01 -0.11367013E+01
 0.11923209E+02  0.27404433E+01 -0.11131134E+01
 0.14386849E+02  0.28180830E+01 -0.10908105E+01
 0.17073424E+02  0.28846265E+01 -0.10698704E+01
 0.19998784E+02  0.29449943E+01 -0.10511120E+01
  0.006
 0.19993960E+01  0.14257642E+01 -0.10880649E+01
 0.30765160E+01  0.17710413E+01 -0.10853843E+01
 0.43848360E+01  0.19865968E+01 -0.10620433E+01
 0.59194890E+01  0.21440149E+01 -0.10356420E+01
 0.76895290E+01  0.22645023E+01 -0.10090523E+01
 0.96907690E+01  0.23603714E+01 -0.98357842E+00
 0.11923209E+02  0.24387645E+01 -0.95956719E+00
 0.14386849E+02  0.25042513E+01 -0.93710292E+00
 0.17073424E+02  0.25601103E+01 -0.91608197E+00
 0.19998784E+02  0.26106546E+01 -0.89728296E+00
  0.0072
 0.19993960E+01  0.12870457E+01 -0.96540263E+00
 0.30765160E+01  0.15924108E+01 -0.95669575E+00
 0.43848360E+01  0.17807226E+01 -0.93032097E+00
 0.59194890E+01  0.19169038E+01 -0.90211545E+00
 0.76895290E+01  0.20202305E+01 -0.87448288E+00
 0.96907690E+01  0.21018035E+01 -0.84843265E+00
 0.11923209E+02  0.21680330E+01 -0.82415064E+00
 0.14386849E+02  0.22230274E+01 -0.80163437E+00
 0.17073424E+02  0.22695641E+01 -0.78079245E+00
 0.19998784E+02  0.23116437E+01 -0.76204050E+00
