  0.000288
 0.19993960E+01 -0.14750163E+02 -0.12493978E+02
 0.30765160E+01 -0.16535499E+02 -0.15058195E+02
 0.43848360E+01 -0.18204157E+02 -0.17068243E+02
 0.59194890E+01 -0.20909538E+02 -0.18367340E+02
 0.76895290E+01 -0.22806705E+02 -0.19530954E+02
 0.96907690E+01 -0.24318168E+02 -0.20562311E+02
 0.11923209E+02 -0.25616649E+02 -0.21475760E+02
 0.14386849E+02 -0.26765389E+02 -0.22292846E+02
 0.17073424E+02 -0.27799883E+02 -0.23030123E+02
 0.19998784E+02 -0.28741386E+02 -0.23694083E+02
  0.000355
 0.19993960E+01 -0.13579118E+02 -0.11456384E+02
 0.30765160E+01 -0.15047216E+02 -0.13773147E+02
 0.43848360E+01 -0.16456825E+02 -0.15589641E+02
 0.59194890E+01 -0.17603581E+02 -0.17121124E+02
 0.76895290E+01 -0.18674943E+02 -0.18420339E+02
 0.96907690E+01 -0.19665706E+02 -0.19544977E+02
 0.11923209E+02 -0.20581653E+02 -0.20534597E+02
 0.14386849E+02 -0.21431128E+02 -0.21416689E+02
 0.17073424E+02 -0.22221940E+02 -0.22210609E+02
 0.19998784E+02 -0.22958038E+02 -0.22923907E+02
  0.0005
 0.19993960E+01 -0.11827188E+02 -0.99108150E+01
 0.30765160E+01 -0.13066883E+02 -0.11821762E+02
 0.43848360E+01 -0.14184325E+02 -0.13327717E+02
 0.59194890E+01 -0.15214876E+02 -0.14566966E+02
 0.76895290E+01 -0.16118946E+02 -0.15617013E+02
 0.96907690E+01 -0.16941858E+02 -0.16524463E+02
 0.11923209E+02 -0.17698342E+02 -0.17321352E+02
 0.14386849E+02 -0.18396958E+02 -0.18030227E+02
 0.17073424E+02 -0.19045619E+02 -0.18667030E+02
 0.19998784E+02 -0.19647939E+02 -0.19237927E+02
  0.00075
 0.19993960E+01 -0.10003666E+02 -0.83079894E+01
 0.30765160E+01 -0.10965608E+02 -0.98313832E+01
 0.43848360E+01 -0.11802861E+02 -0.11034180E+02
 0.59194890E+01 -0.12586520E+02 -0.12016484E+02
 0.76895290E+01 -0.13303570E+02 -0.12844604E+02
 0.96907690E+01 -0.13957114E+02 -0.13557891E+02
 0.11923209E+02 -0.14555738E+02 -0.14182651E+02
 0.14386849E+02 -0.15107372E+02 -0.14737160E+02
 0.17073424E+02 -0.15619209E+02 -0.15234275E+02
 0.19998784E+02 -0.16091597E+02 -0.15678928E+02
  0.001
 0.19993960E+01 -0.88603759E+01 -0.73069773E+01
 0.30765160E+01 -0.97013627E+01 -0.85915260E+01
 0.43848360E+01 -0.10465967E+02 -0.95899327E+01
 0.59194890E+01 -0.11148442E+02 -0.10404998E+02
