  0.0001
 0.10000000E+01 -0.29840170E+00  0.39812181E+01
 0.15382277E+01 -0.42289265E+01  0.18574820E+01
 0.21918985E+01 -0.74119055E+01  0.75312637E-01
 0.29610123E+01 -0.10197236E+02 -0.15414675E+01
 0.38455692E+01 -0.12732852E+02 -0.30501804E+01
 0.48455692E+01 -0.15087591E+02 -0.44814464E+01
 0.59610123E+01 -0.17306652E+02 -0.58457928E+01
 0.71918984E+01 -0.19412451E+02 -0.71503542E+01
 0.85382277E+01 -0.21423804E+02 -0.83980347E+01
 0.10000000E+02 -0.23349172E+02 -0.95987333E+01
 0.14207095E+02 -0.27914496E+02 -0.12414353E+02
 0.19905339E+02 -0.32656845E+02 -0.15355896E+02
 0.26562170E+02 -0.37009275E+02 -0.18038821E+02
 0.34177470E+02 -0.41041980E+02 -0.20506035E+02
 0.42751459E+02 -0.44805115E+02 -0.22789928E+02
 0.52284035E+02 -0.48333646E+02 -0.24915214E+02
 0.62775197E+02 -0.51660527E+02 -0.26903534E+02
 0.74224773E+02 -0.54812253E+02 -0.28772758E+02
 0.86633093E+02 -0.57806253E+02 -0.30535871E+02
 0.10000000E+03 -0.60654231E+02 -0.32202786E+02
 0.14248481E+03 -0.67981780E+02 -0.36452381E+02
 0.19948738E+03 -0.75343441E+02 -0.40646407E+02
 0.26606177E+03 -0.81948384E+02 -0.44350648E+02
 0.34220190E+03 -0.87936911E+02 -0.47665351E+02
 0.42791473E+03 -0.93434302E+02 -0.50670937E+02
 0.52319243E+03 -0.98512119E+02 -0.53419205E+02
 0.62804370E+03 -0.10324458E+03 -0.55953436E+02
 0.74245895E+03 -0.10767307E+03 -0.58303928E+02
 0.86644277E+03 -0.11183279E+03 -0.60495393E+02
 0.10000015E+04 -0.11575377E+03 -0.62547519E+02
 0.13218387E+04 -0.12360486E+03 -0.66569394E+02
 0.18860433E+04 -0.13390066E+03 -0.71810007E+02
 0.25502500E+04 -0.14294968E+03 -0.76333255E+02
 0.33144661E+04 -0.15099960E+03 -0.80309754E+02
 0.41787045E+04 -0.15829209E+03 -0.83861950E+02
 0.51429408E+04 -0.16495837E+03 -0.87071938E+02
 0.62071865E+04 -0.17109749E+03 -0.89999756E+02
 0.73714416E+04 -0.17678701E+03 -0.92690919E+02
 0.86357247E+04 -0.18208861E+03 -0.95180891E+02
 0.10000000E+05 -0.18705149E+03 -0.97497595E+02
  0.0002
 0.10000000E+01 -0.63788167E+00  0.37181429E+01
 0.15382277E+01 -0.23208676E+01  0.32249343E+01
 0.21918985E+01 -0.38762863E+01  0.26384645E+01
 0.29610123E+01 -0.53574045E+01  0.20047919E+01
 0.38455692E+01 -0.67809597E+01  0.13517270E+01
 0.48455692E+01 -0.81505784E+01  0.68982057E+00
 0.59610123E+01 -0.94713671E+01  0.33312351E-01
 0.71918984E+01 -0.10746347E+02 -0.61233570E+00
 0.85382277E+01 -0.11980584E+02 -0.12409781E+01
 0.10000000E+02 -0.13172940E+02 -0.18555881E+01
 0.14207095E+02 -0.16031559E+02 -0.33169947E+01
 0.19905339E+02 -0.19030192E+02 -0.48690375E+01
 0.26562170E+02 -0.21796699E+02 -0.62964485E+01
 0.34177470E+02 -0.24366277E+02 -0.76144870E+01
 0.42751459E+02 -0.26766345E+02 -0.88370447E+01
 0.52284035E+02 -0.29017333E+02 -0.99757372E+01
 0.62775197E+02 -0.31138948E+02 -0.11041161E+02
 0.74224773E+02 -0.33147467E+02 -0.12042140E+02
 0.86633093E+02 -0.35053946E+02 -0.12985627E+02
 0.10000000E+03 -0.36866131E+02 -0.13877219E+02
 0.14248481E+03 -0.41530181E+02 -0.16105684E+02
 0.19948738E+03 -0.46193284E+02 -0.18334735E+02
 0.26606177E+03 -0.50364837E+02 -0.20296289E+02
 0.34220190E+03 -0.54137662E+02 -0.22047028E+02
 0.42791473E+03 -0.57591994E+02 -0.23628976E+02
 0.52319243E+03 -0.60776242E+02 -0.25071172E+02
 0.62804370E+03 -0.63737212E+02 -0.26396931E+02
 0.74245895E+03 -0.66502802E+02 -0.27623566E+02
 0.86644277E+03 -0.69096762E+02 -0.28764478E+02
 0.10000015E+04 -0.71538407E+02 -0.29830977E+02
 0.13218387E+04 -0.76416797E+02 -0.31869597E+02
 0.18860433E+04 -0.82789012E+02 -0.34572911E+02
 0.25502500E+04 -0.88368422E+02 -0.36892711E+02
 0.33144661E+04 -0.93319351E+02 -0.38924350E+02
 0.41787045E+04 -0.97791125E+02 -0.40731074E+02
 0.51429408E+04 -0.10186929E+03 -0.42357418E+02
 0.62071865E+04 -0.10561739E+03 -0.43835913E+02
 0.73714416E+04 -0.10908498E+03 -0.45191270E+02
 0.86357247E+04 -0.11231153E+03 -0.46442197E+02
 0.10000000E+05 -0.11532822E+03 -0.47603633E+02
  0.0003
 0.10000000E+01 -0.93533921E+00  0.42747452E+01
 0.15382277E+01 -0.21318618E+01  0.41560248E+01
 0.21918985E+01 -0.32753323E+01  0.39079180E+01
 0.29610123E+01 -0.43798485E+01  0.35805992E+01
 0.38455692E+01 -0.54569613E+01  0.32218552E+01
 0.48455692E+01 -0.65149866E+01  0.28633486E+01
 0.59610123E+01 -0.75453147E+01  0.25063636E+01
 0.71918984E+01 -0.85299054E+01  0.21326260E+01
 0.85382277E+01 -0.94809449E+01  0.17595027E+01
 0.10000000E+02 -0.10402432E+02  0.13924940E+01
 0.14207095E+02 -0.12508359E+02  0.33355778E+00
 0.19905339E+02 -0.14820747E+02 -0.64140025E+00
 0.26562170E+02 -0.16948465E+02 -0.15474421E+01
