  0.0001
 0.10000000E+01  0.41481980E+00  0.00000000E+00
 0.15382277E+01 -0.25142228E+01 -0.13245619E+02
 0.21918985E+01 -0.76417931E+01 -0.35820394E+02
 0.29610123E+01 -0.15437444E+02 -0.62267442E+02
 0.38455692E+01 -0.25022192E+02 -0.90517674E+02
 0.48455692E+01 -0.35254658E+02 -0.12006427E+03
 0.59610123E+01 -0.47671244E+02 -0.14792601E+03
 0.71918984E+01 -0.58421765E+02 -0.17806181E+03
 0.85382277E+01 -0.69840199E+02 -0.20720071E+03
 0.10000000E+02 -0.81487821E+02 -0.23560592E+03
 0.14207095E+02 -0.11163953E+03 -0.30309199E+03
 0.19905339E+02 -0.14657668E+03 -0.37255332E+03
 0.26562170E+02 -0.17820531E+03 -0.43855837E+03
 0.34177470E+02 -0.20926424E+03 -0.49839225E+03
 0.42751459E+02 -0.23874844E+03 -0.55389094E+03
 0.52284035E+02 -0.26700061E+03 -0.60525342E+03
 0.62775197E+02 -0.29393672E+03 -0.65318125E+03
 0.74224773E+02 -0.31969428E+03 -0.69810727E+03
 0.86633093E+02 -0.34433141E+03 -0.74036307E+03
 0.10000000E+03 -0.36788853E+03 -0.78022091E+03
 0.14248481E+03 -0.42921644E+03 -0.88075732E+03
 0.19948738E+03 -0.49108082E+03 -0.97953801E+03
 0.26606177E+03 -0.54674970E+03 -0.10662207E+04
 0.34220190E+03 -0.59741398E+03 -0.11434093E+04
 0.42791473E+03 -0.64396794E+03 -0.12128734E+04
 0.52319243E+03 -0.68702741E+03 -0.12761105E+04
 0.62804370E+03 -0.72708891E+03 -0.13341921E+04
 0.74245895E+03 -0.76451104E+03 -0.13878897E+04
 0.86644277E+03 -0.79961144E+03 -0.14378037E+04
 0.10000015E+04 -0.83265400E+03 -0.14844295E+04
 0.13218387E+04 -0.89870168E+03 -0.15756917E+04
 0.18860433E+04 -0.98507107E+03 -0.16935095E+04
 0.25502500E+04 -0.10605505E+04 -0.17946673E+04
 0.33144661E+04 -0.11274523E+04 -0.18832697E+04
 0.41787045E+04 -0.11878109E+04 -0.19620778E+04
 0.51429408E+04 -0.12427831E+04 -0.20330289E+04
 0.62071865E+04 -0.12932542E+04 -0.20975400E+04
 0.73714416E+04 -0.13399016E+04 -0.21566758E+04
 0.86357247E+04 -0.13832672E+04 -0.22112600E+04
 0.10000000E+05 -0.14237811E+04 -0.22619383E+04
  0.0002
 0.10000000E+01  0.41481330E+00  0.00000000E+00
 0.15382277E+01 -0.12863272E+01 -0.63430790E+01
 0.21918985E+01 -0.39179390E+01 -0.16680538E+02
 0.29610123E+01 -0.76975472E+01 -0.28457994E+02
 0.38455692E+01 -0.12106854E+02 -0.40939236E+02
 0.48455692E+01 -0.16925207E+02 -0.53607314E+02
 0.59610123E+01 -0.21985769E+02 -0.66190578E+02
